,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
30,39,4,2,2,0,3797,0,0,0,2,6,96,2,-1,0,3,0
31,34,9,2,1,0,2729,1,0,0,6,0,945,1,139,1,2,0
32,37,4,1,2,0,5355,0,0,1,17,3,466,4,-1,0,3,1
33,35,4,2,2,0,2486,1,0,0,25,8,265,1,-1,0,3,0
34,25,4,2,2,0,2506,0,0,0,17,3,485,1,-1,0,3,1
35,35,6,0,2,0,1354,1,0,2,23,8,736,2,-1,0,3,1
36,28,9,2,1,0,3,0,0,1,18,8,40,8,349,6,0,0
37,30,0,1,1,0,0,0,0,0,15,5,127,5,-1,0,3,0
38,43,10,1,2,0,58,1,0,0,9,3,48,4,-1,0,3,0
39,27,0,2,1,0,619,1,0,0,20,0,16,5,322,4,1,0
40,48,4,1,2,0,998,1,0,0,29,4,121,3,-1,0,3,0
41,32,10,2,2,0,336,1,0,2,8,8,139,1,-1,0,3,0
42,45,9,1,1,0,-149,1,0,0,14,5,287,2,-1,0,3,0
43,28,1,1,1,0,1020,1,0,2,28,8,251,1,-1,0,3,0
44,34,4,1,2,0,180,0,0,0,16,6,298,3,-1,0,3,0
45,33,4,1,2,0,273,1,0,2,16,8,803,1,-1,0,3,1
46,33,3,2,2,0,23663,1,0,0,16,0,199,2,146,2,0,0
47,45,1,1,1,0,784,1,1,2,3,6,34,1,-1,0,3,0
48,35,1,1,1,0,1949,1,0,2,2,6,200,3,-1,0,3,0
49,31,4,2,2,0,1130,1,0,0,17,0,224,3,74,4,0,0
50,36,1,1,1,0,1049,1,0,0,14,8,224,4,-1,0,3,1
51,33,0,1,2,0,79,1,0,0,22,10,249,2,335,2,0,1
52,28,9,2,1,0,389,1,0,0,11,8,15,7,-1,0,3,0
53,49,1,1,1,0,-55,0,0,2,17,6,150,3,-1,0,3,0
54,39,1,1,0,0,52,0,0,0,13,1,69,1,-1,0,3,0
55,32,1,2,1,0,-84,1,0,0,11,8,426,1,-1,0,3,0
56,26,4,1,2,0,265,0,0,0,30,4,650,2,-1,0,3,0
57,42,6,0,2,0,360,1,0,2,24,6,110,5,-1,0,3,0
58,24,8,2,1,0,822,0,0,0,27,10,184,1,91,2,0,1
59,30,9,1,1,0,616,1,0,0,6,8,19,1,-1,0,3,0
60,39,6,1,1,0,31,1,0,0,20,9,61,2,181,4,0,0
61,34,9,2,2,0,925,1,0,0,13,0,709,1,-1,0,3,1
62,34,7,1,1,0,-62,1,0,2,16,6,109,3,-1,0,3,0
63,35,0,1,1,0,0,1,0,0,7,8,121,2,-1,0,3,0
64,59,1,1,1,0,5314,1,0,0,5,8,200,3,-1,0,3,0
65,58,5,1,1,0,235,0,0,0,27,1,88,4,-1,0,3,0
66,27,1,1,1,0,2171,1,0,0,16,0,130,1,323,1,1,0
67,37,9,1,1,0,1063,1,0,0,31,5,413,2,-1,0,3,0
68,46,9,1,1,0,-337,1,0,2,27,8,112,1,-1,0,3,0
69,32,1,1,0,0,642,0,1,0,8,5,524,1,-1,0,3,0
70,36,9,1,1,0,23,1,0,0,8,8,152,2,347,1,0,0
71,38,4,1,2,0,2278,1,1,0,13,8,244,1,-1,0,3,0
72,36,4,0,2,0,3611,1,0,2,4,6,347,3,-1,0,3,0
73,37,9,2,1,0,2442,0,0,0,16,3,91,3,-1,0,3,1
74,37,9,1,1,0,64,1,0,0,12,8,239,4,278,2,1,0
75,57,6,1,2,1,-3313,1,1,2,9,8,153,1,-1,0,3,0
76,41,0,1,2,0,1287,0,0,2,16,6,286,1,-1,0,3,0
77,50,2,1,1,0,1011,1,0,1,30,5,340,2,-1,0,3,0
78,59,1,1,0,0,179,1,0,2,5,8,55,3,-1,0,3,0
79,32,0,1,1,0,76,1,0,2,21,8,189,2,-1,0,3,0
80,37,4,1,2,0,4089,1,0,0,2,3,289,2,174,4,1,1
81,36,7,1,1,0,1981,0,0,2,17,6,48,2,-1,0,3,0
82,33,9,2,2,0,123,0,0,0,19,1,264,1,-1,0,3,0
83,34,0,1,1,0,613,1,0,0,4,6,80,1,-1,0,3,0
84,54,7,1,1,0,0,0,0,2,19,6,220,1,-1,0,3,0
85,32,9,2,2,0,1012,0,0,0,14,0,178,1,-1,0,3,0
86,41,10,1,2,0,1666,0,0,2,9,6,291,3,-1,0,3,0
87,53,1,1,0,0,225,0,0,0,18,5,171,7,-1,0,3,0
88,50,4,1,2,0,85,0,1,0,1,6,141,1,-1,0,3,0
89,47,0,1,1,0,1934,0,1,0,14,8,225,1,364,1,0,0
90,34,9,2,1,0,1386,1,1,2,28,8,185,6,-1,0,3,0
91,48,0,1,1,0,5,1,0,2,7,8,697,2,-1,0,3,0
92,40,1,1,0,0,-335,1,0,2,27,8,260,1,-1,0,3,0
93,30,1,2,1,0,315,0,0,0,23,6,1407,1,-1,0,3,1
94,44,1,1,1,0,2523,1,0,2,29,8,1236,2,-1,0,3,0
95,57,3,2,1,0,254,0,0,0,8,10,676,1,-1,0,3,0
96,26,0,1,1,0,0,0,0,2,27,8,755,1,-1,0,3,0
97,52,1,1,0,0,-133,0,0,2,5,6,96,2,-1,0,3,0
98,37,1,0,1,0,0,1,0,0,21,0,146,4,-1,0,3,1
99,39,7,0,1,0,687,1,0,0,9,5,869,1,-1,0,3,1
100,62,4,1,2,0,0,0,0,0,13,10,78,3,-1,0,3,0
101,40,9,1,1,0,56,1,1,0,29,4,194,1,247,1,0,0
102,36,1,1,1,0,1587,1,0,0,28,5,200,2,-1,0,3,0
103,38,10,1,2,0,1449,0,0,2,26,8,535,6,-1,0,3,0
104,25,10,2,2,0,343,0,0,0,1,6,377,1,-1,0,3,1
105,31,1,1,1,0,360,1,1,0,29,4,89,1,241,1,0,0
106,31,4,2,2,0,574,1,0,0,16,5,410,2,-1,0,3,0
107,39,9,1,2,0,1161,1,0,0,9,0,236,1,336,1,0,0
108,28,0,2,1,0,189,1,0,0,31,5,68,2,-1,0,3,0
109,29,9,2,1,0,778,1,0,2,6,6,1994,2,-1,0,3,0
110,32,1,1,1,0,456,0,0,0,12,8,121,1,-1,0,3,0
111,65,5,0,3,0,300,0,0,0,2,1,245,2,-1,0,3,0
112,39,4,2,2,0,0,1,0,0,12,8,561,4,369,3,0,0
113,38,0,1,2,0,1988,0,0,0,27,7,164,2,130,2,0,1
114,31,9,2,1,0,1094,1,0,2,12,6,93,8,-1,0,3,0
115,29,7,2,1,0,0,0,0,0,17,5,58,1,-1,0,3,0
116,46,5,1,0,0,-35,1,0,0,7,8,304,3,-1,0,3,0
117,48,4,1,2,0,363,0,0,0,18,9,67,1,-1,0,3,0
118,32,4,2,3,0,787,0,0,0,28,4,92,1,-1,0,3,0
119,40,1,1,0,0,1397,1,0,1,12,8,58,2,334,1,0,0
120,28,6,2,2,0,0,1,0,0,21,5,479,1,-1,0,3,0
121,24,1,1,1,0,204,1,1,0,17,0,229,3,-1,0,3,0
122,30,4,1,2,0,0,1,0,0,9,5,127,1,-1,0,3,0
123,20,8,2,1,0,291,0,0,1,11,8,172,5,371,5,0,0
124,33,6,2,1,0,238,1,1,0,5,3,45,5,-1,0,3,0
125,36,7,2,1,0,760,0,0,2,20,6,9,13,-1,0,3,0
126,32,2,1,3,0,73,1,0,0,21,9,158,1,135,1,0,0
127,35,7,1,1,0,128,1,0,0,12,8,136,1,-1,0,3,0
128,40,10,1,1,0,219,1,0,0,17,9,204,2,196,1,0,0
129,54,1,1,1,0,2059,1,0,0,25,1,177,4,-1,0,3,0
130,32,1,2,1,0,1721,1,0,2,21,8,650,2,-1,0,3,0
131,47,7,1,1,0,2597,1,0,2,16,8,323,1,-1,0,3,0
132,47,6,1,2,0,2303,1,0,0,6,8,323,2,364,1,0,0
133,36,4,1,2,0,495,0,0,0,12,7,213,3,182,6,2,1
134,44,11,1,1,0,2319,0,0,0,4,1,251,3,-1,0,3,0
135,32,7,2,1,0,133,0,0,0,15,0,171,1,-1,0,3,1
136,42,9,0,2,0,7190,1,0,0,29,5,375,2,-1,0,3,0
137,38,4,0,2,0,4425,1,0,2,30,8,162,1,-1,0,3,0
138,38,0,1,1,0,424,1,0,0,17,0,279,1,-1,0,3,0
139,44,4,1,2,0,17361,0,0,2,18,6,476,1,-1,0,3,0
140,55,6,1,1,0,2678,0,1,0,18,1,151,12,-1,0,3,0
141,40,9,1,1,0,694,1,0,0,4,3,97,4,196,5,0,0
142,35,1,2,0,0,293,1,0,2,30,8,521,2,-1,0,3,0
143,43,6,1,1,0,104,0,0,2,17,6,332,1,-1,0,3,0
144,36,4,1,2,0,9,0,0,0,11,1,386,4,-1,0,3,1
145,30,10,1,2,0,0,1,0,0,18,9,756,1,-1,0,3,0
146,49,1,1,2,0,1784,0,0,2,12,6,753,1,-1,0,3,0
147,43,9,0,1,0,167,0,0,0,4,1,211,3,-1,0,3,0
148,46,1,1,1,0,519,1,0,0,25,1,217,6,-1,0,3,0
149,34,0,1,1,0,1671,0,0,2,21,8,160,1,-1,0,3,0
150,75,5,1,1,0,3771,0,0,1,15,0,185,1,181,2,2,1
151,36,0,2,2,0,980,0,0,0,11,9,118,4,104,7,0,0
152,56,4,1,2,0,318,0,1,1,9,5,246,3,-1,0,3,0
153,38,9,1,1,0,226,1,0,2,30,8,762,3,-1,0,3,1
154,70,5,0,1,0,6850,0,0,1,5,7,252,3,183,1,0,0
155,37,1,2,1,0,48,0,0,0,6,8,140,2,-1,0,3,0
156,31,0,2,1,0,-449,1,0,2,28,8,81,2,-1,0,3,0
157,44,4,0,2,0,-710,1,0,0,10,5,183,1,-1,0,3,0
158,34,4,1,1,0,15,0,0,0,25,1,184,7,-1,0,3,0
159,34,2,1,2,0,4343,0,0,2,9,6,85,4,-1,0,3,0
160,60,5,0,3,0,-49,1,0,0,29,4,188,1,261,2,0,0
161,38,1,0,1,0,0,1,0,0,11,8,580,1,173,1,0,0
162,38,1,1,1,0,361,1,0,2,11,6,601,1,-1,0,3,0
163,59,1,0,1,0,3573,0,0,0,15,8,44,1,-1,0,3,0
164,42,1,2,1,0,1080,1,1,0,13,8,951,3,370,4,0,1
165,57,9,1,1,0,295,0,0,0,19,1,151,11,-1,0,3,0
166,53,1,2,3,0,0,0,0,2,12,8,140,7,-1,0,3,0
167,43,4,1,2,0,3529,1,0,0,4,1,190,3,-1,0,3,0
168,51,7,1,1,0,0,0,0,0,18,5,439,3,-1,0,3,0
169,34,7,0,1,0,202,1,0,2,15,8,318,1,-1,0,3,0
170,55,7,1,1,0,186,1,1,2,9,8,241,1,-1,0,3,0
171,51,9,1,1,0,117,0,0,0,24,1,467,2,88,4,1,1
172,45,0,1,1,0,204,1,0,0,3,6,224,2,-1,0,3,1
173,46,0,1,0,0,276,1,1,2,6,8,157,2,-1,0,3,0
174,40,9,1,1,0,0,1,1,0,26,5,105,2,172,1,0,0
175,29,4,2,1,0,417,0,0,0,7,10,90,1,-1,0,3,0
176,43,1,1,0,0,7727,1,0,2,15,8,302,8,-1,0,3,0
177,42,0,2,1,0,30,1,0,0,4,3,98,1,266,3,0,0
178,54,4,0,2,0,0,0,1,0,10,5,88,1,-1,0,3,0
179,35,9,1,1,0,13658,1,0,1,9,2,220,2,-1,0,3,0
180,40,9,1,1,0,4441,1,0,0,20,9,153,2,183,2,0,0
181,31,1,1,1,0,1766,0,1,0,5,6,166,2,-1,0,3,1
182,38,1,1,1,0,1205,1,0,0,20,0,45,4,153,1,0,0
183,45,11,1,0,0,44,0,0,2,11,6,81,1,-1,0,3,0
184,45,1,1,0,0,137,1,1,2,16,8,187,19,-1,0,3,0
185,31,1,1,1,0,191,1,0,2,2,6,40,1,-1,0,3,0
186,35,7,1,1,0,152,1,0,2,2,6,563,1,-1,0,3,1
187,32,9,1,1,0,687,0,0,0,20,1,161,4,-1,0,3,0
188,52,4,1,2,0,-11,1,0,0,11,8,94,4,-1,0,3,0
189,36,1,1,0,0,0,1,0,0,18,9,618,2,-1,0,3,0
190,33,7,1,1,0,90,1,0,0,28,5,263,2,-1,0,3,0
191,31,9,1,1,0,2363,1,0,2,13,8,247,1,-1,0,3,0
192,28,1,2,1,0,6307,1,0,2,28,8,615,1,-1,0,3,0
193,37,9,0,1,0,2610,1,0,0,13,8,53,1,-1,0,3,0
194,64,5,0,2,0,890,0,0,0,3,5,531,3,-1,0,3,0
195,49,10,1,1,0,769,1,0,2,14,8,257,1,-1,0,3,0
196,32,0,2,2,0,1583,1,0,0,19,9,100,1,182,1,0,0
197,31,6,2,2,0,96,0,0,0,5,3,577,1,-1,0,3,0
198,35,4,1,2,0,317,1,0,2,23,8,162,3,-1,0,3,0
199,52,1,1,0,0,779,1,0,2,16,8,30,3,-1,0,3,0
200,34,4,2,2,0,178,1,0,0,15,8,14,2,-1,0,3,0
201,41,4,0,2,0,5037,0,0,0,23,0,252,9,185,5,1,1
202,49,4,1,2,0,92,1,0,2,6,8,221,2,-1,0,3,0
203,31,9,2,1,0,433,0,0,0,11,1,1504,2,-1,0,3,0
204,49,5,2,0,0,25824,0,0,2,17,6,94,1,-1,0,3,0
205,38,10,1,0,0,1147,1,1,2,8,8,249,5,-1,0,3,0
206,42,1,1,1,0,-921,1,0,2,26,8,115,2,-1,0,3,0
207,43,4,1,2,0,2,0,1,0,20,1,472,2,-1,0,3,0
208,32,9,1,1,0,253,1,0,2,4,6,257,3,-1,0,3,0
209,40,4,1,2,0,-1212,1,0,0,15,8,1259,2,333,18,0,0
210,30,1,1,1,0,673,1,0,2,20,8,610,2,-1,0,3,0
211,35,4,1,1,0,839,1,0,2,23,8,50,3,-1,0,3,0
212,35,4,0,2,0,321,1,0,2,9,8,189,1,-1,0,3,0
213,30,0,1,1,0,518,1,0,0,8,8,127,1,-1,0,3,0
214,54,4,1,0,0,3859,0,1,0,20,9,104,3,-1,0,3,0
215,46,9,0,1,0,-90,0,1,1,17,10,270,1,-1,0,3,1
216,36,9,1,2,0,0,0,0,0,22,1,147,2,-1,0,3,0
217,53,4,1,2,0,1319,1,0,0,16,0,427,1,150,1,0,0
218,38,1,1,1,0,121,1,1,0,6,3,168,1,212,2,0,0
219,36,9,0,1,0,-435,1,0,2,2,6,85,8,-1,0,3,0
220,80,3,1,0,0,0,0,0,0,23,3,639,1,189,1,0,1
221,34,0,1,1,0,396,1,0,0,16,5,101,3,-1,0,3,0
222,39,7,1,1,0,5731,1,0,2,20,8,175,2,-1,0,3,0
223,58,1,1,1,0,-27,0,1,1,31,5,77,13,-1,0,3,0
224,47,11,1,3,0,677,0,0,0,7,1,384,1,99,4,2,0
225,39,1,1,1,0,-405,1,0,0,8,8,177,1,-1,0,3,0
226,31,9,1,1,0,0,0,1,0,15,5,624,6,-1,0,3,0
227,47,1,1,0,0,881,1,0,0,14,8,143,1,370,2,0,0
228,29,0,2,1,0,1117,1,0,2,8,8,77,2,-1,0,3,0
229,34,6,1,2,0,263,0,0,0,4,8,203,1,78,8,1,0
230,33,1,2,1,0,5739,1,1,0,21,9,374,1,-1,0,3,0
231,53,4,1,1,0,66,0,1,1,8,5,141,1,-1,0,3,0
232,32,1,1,1,0,3514,1,0,2,20,8,226,2,-1,0,3,0
233,47,0,2,1,0,3696,0,0,0,12,5,250,2,181,4,2,1
234,35,9,2,1,0,450,1,0,0,13,8,63,1,-1,0,3,0
235,36,1,1,1,0,1554,1,0,2,12,8,325,4,-1,0,3,0
236,29,4,2,2,0,5980,1,0,2,28,8,317,1,-1,0,3,0
237,32,1,2,1,0,118,1,0,0,17,5,1275,1,-1,0,3,1
238,59,4,1,0,0,2358,1,0,0,17,0,30,1,-1,0,3,0
239,53,1,1,1,0,70,1,0,2,5,8,611,2,-1,0,3,0
240,35,9,1,1,0,251,1,1,2,1,5,128,3,-1,0,3,0
241,36,0,1,3,0,2323,0,0,0,19,9,111,1,-1,0,3,0
242,37,9,2,1,1,375,0,0,2,9,6,223,2,-1,0,3,0
243,29,6,1,2,0,1,0,0,0,18,5,167,3,-1,0,3,0
244,50,1,1,0,0,2142,1,0,0,29,4,309,2,224,1,1,0
245,34,9,1,2,0,5060,1,0,0,21,1,12,21,-1,0,3,0
246,28,9,2,2,0,0,1,0,2,4,6,205,6,-1,0,3,0
247,36,3,1,1,0,2880,0,0,2,12,6,283,1,-1,0,3,0
248,32,4,2,2,0,347,1,0,0,18,8,213,1,264,6,0,0
249,31,1,1,1,0,1407,1,0,0,6,8,142,3,-1,0,3,0
250,40,7,1,1,0,-378,1,1,0,13,8,541,1,295,6,0,0
251,30,4,1,1,0,-559,1,1,0,7,8,98,1,167,2,0,0
252,38,2,2,1,0,2543,0,0,0,10,1,223,1,414,4,0,1
253,46,9,1,1,0,57,0,0,2,28,8,796,1,-1,0,3,1
254,33,1,1,1,0,625,1,0,2,28,8,410,1,-1,0,3,0
255,32,9,2,2,0,705,1,0,0,20,0,20,4,-1,0,3,0
256,40,9,2,1,0,641,0,0,0,16,5,156,6,-1,0,3,0
257,59,1,1,1,0,681,1,0,1,14,0,427,2,-1,0,3,0
258,28,1,1,1,0,64,1,0,2,13,8,160,3,-1,0,3,0
259,36,10,2,2,0,9019,1,0,2,11,6,952,3,-1,0,3,0
260,39,6,2,2,0,426,0,0,2,18,6,1029,1,-1,0,3,1
261,32,9,2,2,0,741,1,0,0,11,1,238,1,-1,0,3,0
262,47,9,1,1,0,57,0,0,0,5,8,253,1,342,1,2,0
263,43,4,2,1,0,-228,1,1,2,16,8,122,2,-1,0,3,0
264,28,9,2,1,0,769,1,0,0,15,8,153,1,371,2,0,0
265,36,4,1,2,0,1477,0,0,0,7,1,71,2,-1,0,3,0
266,60,1,1,1,0,1801,0,0,1,29,10,167,1,-1,0,3,0
267,42,1,1,1,0,130,1,0,2,29,8,285,1,-1,0,3,0
268,38,7,1,1,0,-314,1,0,2,28,8,66,2,-1,0,3,0
269,48,9,1,1,0,427,0,0,2,14,8,201,1,-1,0,3,0
270,48,1,1,1,0,705,0,0,2,13,8,108,2,-1,0,3,0
271,35,0,2,1,0,57,0,1,0,8,5,632,2,-1,0,3,0
272,47,1,1,1,0,1996,0,0,2,5,6,761,2,-1,0,3,1
273,31,0,1,1,0,2304,1,0,0,20,9,257,2,-1,0,3,0
274,36,4,1,2,0,605,1,0,2,26,8,204,1,-1,0,3,0
275,45,0,1,1,0,72,1,1,0,15,8,262,2,352,2,0,0
276,42,1,1,0,0,-97,1,0,0,3,3,216,4,271,5,0,0
277,45,0,1,1,0,638,1,0,0,20,1,75,9,-1,0,3,0
278,35,1,2,0,0,1147,1,1,1,7,8,29,1,-1,0,3,0
279,83,5,0,0,0,1097,0,0,1,5,7,181,1,-1,0,3,1
280,44,2,2,2,0,1136,1,1,0,3,0,345,2,249,7,1,0
281,32,9,2,2,0,259,0,0,0,22,5,407,4,-1,0,3,0
282,53,9,1,1,0,230,0,1,0,13,1,112,2,-1,0,3,0
283,32,7,1,1,0,38,1,0,0,15,8,744,1,-1,0,3,1
284,36,4,1,2,0,860,1,0,2,20,8,294,15,-1,0,3,0
285,34,4,1,2,0,0,1,0,2,8,8,214,2,-1,0,3,0
286,53,9,1,2,0,3177,0,0,0,8,1,92,2,-1,0,3,0
287,56,0,0,1,1,-435,1,1,2,9,8,185,2,-1,0,3,0
288,40,9,1,1,0,169,1,0,0,18,1,43,4,-1,0,3,0
289,47,9,1,1,0,302,1,0,2,20,6,89,3,-1,0,3,0
290,58,5,0,2,0,264,1,1,0,8,5,523,3,-1,0,3,0
291,25,1,1,0,1,-589,1,0,2,3,6,233,1,-1,0,3,0
292,30,8,2,2,0,7513,0,0,0,11,1,269,2,-1,0,3,0
293,43,9,1,1,0,275,0,0,0,25,1,69,6,-1,0,3,0
294,33,4,2,2,0,1998,0,0,0,19,9,570,1,-1,0,3,0
295,34,4,1,2,0,997,1,1,0,21,9,81,1,-1,0,3,0
296,38,3,1,0,0,21,0,0,0,26,1,634,2,-1,0,3,0
297,59,4,1,1,0,42,0,0,0,21,9,40,1,-1,0,3,0
298,29,9,2,2,0,0,1,0,2,7,8,104,2,-1,0,3,0
299,29,7,2,3,0,33,0,0,2,1,5,161,1,-1,0,3,0
300,36,7,1,1,0,1746,1,0,2,26,8,99,1,-1,0,3,0
301,57,4,1,2,0,320,0,0,0,7,1,76,2,-1,0,3,0
302,30,1,2,1,0,363,0,0,0,28,5,171,3,-1,0,3,0
303,39,0,2,1,0,1242,1,0,2,12,8,303,3,-1,0,3,0
304,34,9,2,1,0,440,1,0,0,6,8,445,2,345,2,0,0
305,56,6,1,1,0,800,0,1,0,9,5,170,1,-1,0,3,0
306,28,1,2,1,0,517,0,1,0,8,5,681,1,-1,0,3,1
307,35,0,1,1,0,0,0,0,2,7,8,326,1,-1,0,3,0
308,57,0,1,1,0,3927,0,0,0,13,10,61,1,-1,0,3,0
309,36,0,1,1,0,4280,0,0,2,19,6,227,6,-1,0,3,0
310,46,1,0,0,0,452,1,0,2,9,8,113,4,-1,0,3,0
311,52,4,1,2,0,0,1,0,0,9,5,197,1,-1,0,3,0
312,29,0,2,1,0,1448,0,0,0,10,7,217,1,184,7,1,0
313,33,9,0,1,0,9,0,0,0,21,1,91,2,-1,0,3,0
314,42,6,1,2,0,1932,1,0,2,16,8,192,32,-1,0,3,0
315,44,1,1,0,0,-14,1,1,2,19,8,179,4,-1,0,3,0
316,49,4,2,0,0,548,0,0,1,31,5,115,6,-1,0,3,0
317,36,1,2,1,0,340,0,1,2,16,6,559,3,-1,0,3,0
318,58,5,1,0,0,3401,1,0,0,3,3,84,3,265,2,0,0
319,32,9,2,2,0,1059,1,0,0,17,0,115,1,-1,0,3,0
320,47,4,0,2,0,94,1,0,0,31,5,9,19,-1,0,3,0
321,39,9,1,1,0,501,0,0,2,26,8,289,1,-1,0,3,0
322,54,7,1,1,0,-22,0,1,0,9,5,85,1,-1,0,3,0
323,30,9,1,1,0,371,0,0,0,7,1,124,2,-1,0,3,0
324,28,0,1,1,0,12,1,0,0,30,4,73,3,256,3,1,0
325,47,6,1,2,0,4543,1,0,2,14,8,162,1,-1,0,3,0
326,32,0,2,1,0,45,1,1,0,14,8,908,3,344,7,1,0
327,66,0,2,1,0,10177,0,0,0,5,8,272,4,-1,0,3,0
328,33,4,2,2,0,23,0,0,0,20,1,216,3,-1,0,3,0
329,35,9,2,2,0,470,1,0,0,25,5,743,13,-1,0,3,1
330,55,7,1,1,0,-31,0,1,0,13,1,81,2,-1,0,3,0
331,50,9,2,1,0,3897,0,0,0,26,10,298,1,-1,0,3,0
332,33,1,0,1,0,474,0,0,0,22,5,400,2,-1,0,3,0
333,31,6,2,1,0,1086,0,0,0,20,9,410,1,-1,0,3,0
334,36,1,1,1,0,13,0,0,2,3,6,284,1,-1,0,3,0
335,59,4,0,2,0,0,1,0,0,31,5,52,8,-1,0,3,0
336,39,2,1,1,0,0,0,0,0,21,9,108,7,-1,0,3,0
337,26,9,2,1,0,261,1,0,2,27,8,371,2,-1,0,3,0
338,26,9,2,2,0,1216,1,0,0,16,0,472,2,-1,0,3,0
339,28,1,0,3,0,101,1,0,2,28,8,126,4,-1,0,3,0
340,57,5,1,3,0,1621,1,0,2,19,6,108,1,-1,0,3,0
341,33,7,1,1,0,210,1,1,2,20,8,201,1,-1,0,3,0
342,26,1,1,0,0,0,1,0,2,21,8,425,1,-1,0,3,0
343,45,4,0,2,0,0,0,0,2,1,6,5,1,-1,0,3,0
344,27,9,2,1,0,235,1,0,0,12,8,13,5,-1,0,3,0
345,40,4,1,1,0,643,1,0,0,17,0,74,2,256,1,0,0
346,70,5,1,1,0,616,0,0,0,27,0,149,2,182,1,0,0
347,39,6,1,1,0,266,0,0,0,11,8,102,2,-1,0,3,0
348,35,9,1,1,0,4508,1,0,0,18,9,854,1,-1,0,3,1
349,54,4,1,0,0,1691,1,0,0,20,9,186,1,-1,0,3,0
350,40,1,1,1,0,0,1,1,2,29,8,245,3,-1,0,3,0
351,36,7,2,1,0,398,1,1,2,17,6,77,2,-1,0,3,0
352,31,0,1,1,0,0,1,0,0,29,5,82,5,-1,0,3,0
353,50,3,1,1,0,7317,1,0,0,13,8,172,1,370,1,0,0
354,34,0,1,1,0,244,1,0,0,31,5,56,4,-1,0,3,0
355,30,9,1,1,0,1211,1,0,0,18,8,176,1,-1,0,3,0
356,40,6,1,0,0,92,1,0,2,13,8,92,1,-1,0,3,0
357,30,9,2,2,0,699,1,0,0,11,1,213,4,-1,0,3,0
358,38,2,1,1,0,157,0,1,0,15,8,57,11,366,1,1,0
359,34,4,1,2,0,1116,1,0,0,25,5,53,5,-1,0,3,0
360,59,7,1,1,0,0,1,0,0,12,8,214,3,-1,0,3,0
361,47,9,0,2,0,-1148,1,1,2,27,8,62,2,-1,0,3,0
362,24,1,1,1,0,0,0,0,2,28,8,94,1,-1,0,3,0
363,34,9,1,1,0,1,1,0,0,19,9,108,1,-1,0,3,0
364,30,1,2,1,0,648,1,1,2,8,8,287,1,-1,0,3,0
365,38,1,1,1,0,376,1,0,2,7,8,1521,1,-1,0,3,0
366,49,7,1,1,0,823,0,0,0,8,1,780,4,-1,0,3,1
367,30,10,1,0,0,1787,0,0,0,19,10,79,1,-1,0,3,0
368,26,0,1,1,0,2469,0,0,0,16,5,136,8,-1,0,3,0
369,51,2,1,2,0,5403,0,0,2,6,6,42,1,-1,0,3,0
370,54,1,1,3,0,310,1,0,1,28,4,526,4,258,3,1,0
371,51,1,1,0,0,872,0,0,0,8,1,82,2,-1,0,3,0
372,30,8,2,2,0,34,1,0,2,6,8,289,1,-1,0,3,0
